Entity,Code,Year,All malignant cancers combined,Brain and nervous system cancers,Leukemia,Lymphomas and multiple myeloma,Cluster,PCA1,PCA2
Azerbaijan,AZE,2001,5.5802975,1.2094641,3.2716136,0.20855057,0,1.2783873662903573,-0.7562571554008214
Azerbaijan,AZE,2002,6.6663084,1.038795,3.7444935,0.21944262,0,1.6739803216038556,-1.0541902200072675
Azerbaijan,AZE,2003,5.6374674,0.67670447,3.6313064,0.42294028,0,1.269761961681257,-0.8498213169360429
Azerbaijan,AZE,2004,6.175903,0.9652898,3.861159,0.88484895,0,1.636005178927652,-0.7513173527647129
Azerbaijan,AZE,2007,3.7809565,0.6532898,1.6367282,0.46663556,0,0.06295722936096257,-0.1984035462355195
Bahamas,BHS,1999,3.5214987,18.796993,3.3218176,0.0,2,6.586371404255994,3.0851712317814575
Bahamas,BHS,2000,6.982753,0.0,3.2726796,0.0,0,1.2152571632255698,-1.3301202838639279
Bahamas,BHS,2001,0.0,0.0,4.407228,0.0,0,-0.16332443270350633,-0.2532900949975395
Bahamas,BHS,2002,3.3515434,0.0,3.2682943,0.0,0,0.2816788264352666,-0.678615652268716
Bahamas,BHS,2003,0.0,0.0,4.338583,0.0,0,-0.18834893839174438,-0.24271979858961515
Bahamas,BHS,2004,0.0,6.4951935,0.0,0.0,0,0.38675794168991107,1.7392853833045396
Bahamas,BHS,2005,3.2859068,0.0,3.2027671,0.0,0,0.24094474257022608,-0.6567612637510664
Bahamas,BHS,2006,0.0,0.0,0.0,0.0,0,-1.7699775342456703,0.4253566570937068
Bahamas,BHS,2007,0.0,3.1669621,0.0,0.0,0,-0.7183846121851578,1.0660092378075814
Bahamas,BHS,2008,3.1352878,0.0,3.157363,0.0,0,0.18573509746337585,-0.6227739547043887
Bahamas,BHS,2009,3.1128404,3.1456432,0.0,0.0,0,0.07347240357213224,0.5037756293751102
Bahamas,BHS,2010,3.0989494,0.0,3.1253908,0.0,0,0.16475309757692064,-0.6113377091761193
Bahamas,BHS,2011,3.0932937,0.0,0.0,0.0,0,-0.9760583771038217,-0.12906090213251337
Bahamas,BHS,2012,0.0,3.1441598,3.5642364,0.0,0,0.5733847320247556,0.5125577655854154
Bahamas,BHS,2013,3.0984693,0.0,0.0,0.0,0,-0.974730016984088,-0.12998853584525502
Bahamas,BHS,2014,6.217552,0.0,3.168568,0.0,0,0.9809082211228011,-1.17694007464997
Bahamas,BHS,2015,3.120709,0.0,0.0,0.0,0,-0.9690220158721704,-0.1339746042201796
Bahamas,BHS,2016,3.1165268,0.0,3.254149,0.0,0,0.2162032285157211,-0.6343149677604815
Bahrain,BHR,1987,4.8899755,0.0,0.0,2.43309,0,-0.25981330298237,0.4550478632263208
Bahrain,BHR,1988,2.4038463,0.0,0.0,0.0,0,-1.1530106977650116,-0.0054897893336015285
Bahrain,BHR,1997,5.621873,1.6839553,1.7914084,1.6839553,0,1.0617028526458892,0.1096769972451455
Bahrain,BHR,1998,7.453231,0.0,1.8390805,0.0,0,0.8133912494020458,-1.193692373288302
Bahrain,BHR,1999,1.8308647,0.0,0.0,0.0,0,-1.3000711171910067,0.09720691229338413
Bahrain,BHR,2000,3.5290797,0.0,7.0516887,0.0,0,1.7064797983336897,-1.2930216288571938
Bahrain,BHR,2001,1.6952888,0.0,1.4213227,0.0,0,-0.8167251935224185,-0.09735582782862841
Bahrain,BHR,2002,1.6444123,0.0,0.0,0.0,0,-1.3479256523924572,0.13062516951217684
Bahrain,BHR,2003,3.1857786,0.0,1.3706516,0.0,0,-0.45265090972148603,-0.3566968743909484
Bahrain,BHR,2004,3.0719135,3.1471283,0.0,0.0,0,0.06346130849779939,0.5114114685961871
Bahrain,BHR,2005,0.0,0.0,0.0,0.0,0,-1.7699775342456703,0.4253566570937068
Bahrain,BHR,2006,1.4440433,1.5523009,1.7383142,0.0,0,-0.2502072301232373,0.21288229627705274
Bahrain,BHR,2007,1.3960826,1.6785283,1.6785283,0.0,0,-0.24239772704151294,0.2562193745069507
Bahrain,BHR,2008,4.1116166,1.3053467,2.142857,0.0,0,0.4999218186051621,-0.3774829717266438
Bahrain,BHR,2009,2.69629,0.0,2.0504198,0.0,0,-0.3304729575046019,-0.37363886687988607
Bahrain,BHR,2010,1.3228563,0.0,5.522116,0.0,0,0.5826294171273657,-0.6620643870147489
Bahrain,BHR,2011,2.6578074,1.2015042,1.3748728,1.3748728,0,-0.043502716408507655,0.49236815503785625
Bahrain,BHR,2012,3.8118472,1.2864549,0.0,0.0,0,-0.36446710569221075,0.002391374605556858
Bahrain,BHR,2013,1.266015,0.0,0.0,0.0,0,-1.4450444178949864,0.19844611631842152
Bahrain,BHR,2014,1.2629611,1.1134369,1.1134369,0.0,0,-0.6702074433361032,0.2527808547213576
Barbados,BRB,2000,0.0,4.917146,0.0,0.0,0,-0.13723430364680678,1.4200582591895785
Barbados,BRB,2001,0.0,0.0,4.969685,0.0,0,0.04171902852293822,-0.33990000404717025
Barbados,BRB,2002,0.0,6.8348026,0.0,0.0,0,0.4995254818595079,1.8079857464534754
Barbados,BRB,2003,5.027147,8.678672,5.8675117,0.0,2,4.5410415018987065,0.3764520163865072
Barbados,BRB,2004,10.086746,27.847397,6.856829,0.0,2,12.565278461195065,3.1949581371382405
Barbados,BRB,2005,10.141988,0.0,5.276488,0.0,0,2.756588198845662,-2.2049129636102185
Barbados,BRB,2006,0.0,13.673344,27.956388,0.0,2,12.961759379927539,-1.1134916440160203
Barbados,BRB,2007,5.1604915,0.0,0.0,0.0,0,-0.4454951347510235,-0.4995691273016307
Barbados,BRB,2008,5.211319,0.0,11.089548,0.0,0,3.610240187812671,-2.2163024633935353
Barbados,BRB,2009,5.250722,0.0,5.273149,0.0,0,1.4999874974079384,-1.327726878141027
Barbados,BRB,2010,15.79363,0.0,0.0,0.0,0,2.2835869293583566,-2.4053689852602704
Barbados,BRB,2011,0.0,0.0,0.0,0.0,0,-1.7699775342456703,0.4253566570937068
Barbados,BRB,2012,10.490427,0.0,0.0,0.0,0,0.9224764548139823,-1.4548647174821505
Barbados,BRB,2013,10.460251,0.0,7.5705957,0.0,0,3.674588994645611,-2.615213956171293
Belarus,BLR,2002,3.555259,0.6766419,0.71693105,0.33832094,0,-0.33598137496679703,-0.059379396284199415
Belarus,BLR,2003,2.4689744,1.4826598,0.84723413,0.3504063,0,-0.2983770703217921,0.2828051558444239
Belarus,BLR,2007,4.8009615,1.7480226,0.98494756,0.0,0,0.40172340951043756,-0.23318509365260703
Belarus,BLR,2008,2.6475985,0.97328573,0.9705639,0.0,0,-0.41345054406200893,-0.001741864579993922
Belarus,BLR,2009,2.5417697,1.1617517,1.0561379,0.25642604,0,-0.31994956057659085,0.1376724276087775
Belarus,BLR,2010,2.8344238,1.0520258,0.35618582,0.45335335,0,-0.5157912882196644,0.2441444794032129
Belarus,BLR,2011,2.4297848,1.2387915,0.5811136,0.30969787,0,-0.49069456127946276,0.2663143836350628
Belarus,BLR,2013,2.0041285,0.87766516,1.0727019,0.21290593,0,-0.5507955246557584,0.1578080531433732
Belarus,BLR,2014,1.1229823,1.2281693,0.5668474,0.22262493,0,-0.8439536596878671,0.46815562232238234
Belarus,BLR,2018,3.3948581,0.68012077,0.35158652,0.35774273,0,-0.5071442162892679,0.03356396809987101
Belgium,BEL,1979,4.437273,1.2129613,2.4259226,0.29577047,0,0.6870308174247034,-0.38797687233939615
Belgium,BEL,1980,4.6346784,1.975816,2.2919466,0.43725404,0,0.9569969964243993,-0.19571687398479717
Belgium,BEL,1981,6.4040093,1.8556155,2.6508791,0.4418132,0,1.5025242875206564,-0.5907257190825979
Belgium,BEL,1982,5.394662,1.3021894,1.986456,0.5697078,0,0.8308960698933583,-0.37183051963252794
